carrier,airport,scheduled_departure,actual_departure,delay,date,day,month
Canadian North,YWG,2025-06-22T18:10:00Z,2025-06-22T19:21:00Z,71,2025-06-22,22,Jun
WestJet,YQR,2025-06-30T09:55:00Z,2025-06-30T10:21:00Z,26,2025-06-30,30,Jun
Air Transat,YYC,2025-08-11T17:15:00Z,2025-08-11T17:42:00Z,27,2025-08-11,11,Aug
WestJet,YVR,2025-02-20T21:20:00Z,2025-02-20T21:35:00Z,15,2025-02-20,20,Feb
WestJet,YYZ,2025-07-10T08:20:00Z,2025-07-10T09:01:00Z,41,2025-07-10,10,Jul
Air Transat,YUL,2025-03-26T11:45:00Z,2025-03-26T12:01:00Z,16,2025-03-26,26,Mar
Air Transat,YHZ,2025-05-24T10:05:00Z,2025-05-24T10:21:00Z,16,2025-05-24,24,May
Porter Airlines,YOW,2025-04-01T15:20:00Z,2025-04-01T15:23:00Z,3,2025-04-01,1,Apr
Porter Airlines,YVR,2025-10-04T15:10:00Z,2025-10-04T15:21:00Z,11,2025-10-04,4,Oct
Porter Airlines,YYZ,2025-07-28T08:45:00Z,2025-07-28T08:55:00Z,10,2025-07-28,28,Jul
Porter Airlines,YWG,2025-05-04T15:20:00Z,2025-05-04T15:26:00Z,6,2025-05-04,4,May
WestJet,YQB,2025-06-21T15:15:00Z,2025-06-21T15:51:00Z,36,2025-06-21,21,Jun
Air Transat,YYC,2025-05-22T15:30:00Z,2025-05-22T15:40:00Z,10,2025-05-22,22,May
Flair Airlines,YYZ,2025-03-19T16:15:00Z,2025-03-19T16:42:00Z,27,2025-03-19,19,Mar
Air Canada,YQB,2025-11-29T07:35:00Z,2025-11-29T08:04:00Z,29,2025-11-29,29,Nov
Porter Airlines,YQT,2025-11-19T14:55:00Z,2025-11-19T15:12:00Z,17,2025-11-19,19,Nov
Air Canada,YYT,2025-11-24T09:15:00Z,2025-11-24T09:24:00Z,9,2025-11-24,24,Nov
Air Transat,YYC,2025-06-24T09:05:00Z,2025-06-24T09:21:00Z,16,2025-06-24,24,Jun
Air Canada,YYZ,2025-10-06T15:55:00Z,2025-10-06T16:04:00Z,9,2025-10-06,6,Oct
WestJet,YYC,2025-02-15T08:30:00Z,2025-02-15T09:51:00Z,81,2025-02-15,15,Feb
Porter Airlines,YYC,2025-09-14T10:30:00Z,2025-09-14T10:50:00Z,20,2025-09-14,14,Sep
WestJet,YWG,2025-06-10T12:20:00Z,2025-06-10T12:32:00Z,12,2025-06-10,10,Jun
WestJet,YYZ,2025-12-07T19:45:00Z,2025-12-07T20:08:00Z,23,2025-12-07,7,Dec
Porter Airlines,YOW,2025-03-03T14:10:00Z,2025-03-03T14:23:00Z,13,2025-03-03,3,Mar
WestJet,YUL,2025-10-04T09:30:00Z,2025-10-04T09:39:00Z,9,2025-10-04,4,Oct
Air Canada,YYC,2025-09-12T08:05:00Z,2025-09-12T08:20:00Z,15,2025-09-12,12,Sep
Air Canada,YYZ,2025-04-21T09:35:00Z,2025-04-21T09:43:00Z,8,2025-04-21,21,Apr
Air Canada,YHZ,2025-09-26T08:45:00Z,2025-09-26T09:10:00Z,25,2025-09-26,26,Sep
WestJet,YEG,2025-08-16T13:30:00Z,2025-08-16T13:41:00Z,11,2025-08-16,16,Aug
Air Canada,YHZ,2025-06-26T06:20:00Z,2025-06-26T07:04:00Z,44,2025-06-26,26,Jun
WestJet,YUL,2025-09-27T05:50:00Z,2025-09-27T05:56:00Z,6,2025-09-27,27,Sep
Air Transat,YYZ,2025-09-21T14:35:00Z,2025-09-21T14:49:00Z,14,2025-09-21,21,Sep
WestJet,YQB,2025-12-19T12:55:00Z,2025-12-19T13:06:00Z,11,2025-12-19,19,Dec
Air Canada,YQR,2025-07-23T18:15:00Z,2025-07-23T18:29:00Z,14,2025-07-23,23,Jul
Porter Airlines,YUL,2025-12-22T08:20:00Z,2025-12-22T08:33:00Z,13,2025-12-22,22,Dec
Flair Airlines,YVR,2025-01-08T13:15:00Z,2025-01-08T13:51:00Z,36,2025-01-08,8,Jan
Flair Airlines,YOW,2025-12-24T12:00:00Z,2025-12-24T12:41:00Z,41,2025-12-24,24,Dec
WestJet,YEG,2025-12-11T13:25:00Z,2025-12-11T13:37:00Z,12,2025-12-11,11,Dec
WestJet,YVR,2025-03-29T15:25:00Z,2025-03-29T15:59:00Z,34,2025-03-29,29,Mar
Air Canada,YVR,2025-12-19T09:45:00Z,2025-12-19T10:17:00Z,32,2025-12-19,19,Dec
Air Canada,YVR,2025-05-11T10:55:00Z,2025-05-11T11:08:00Z,13,2025-05-11,11,May
Canadian North,YEG,2025-04-02T14:35:00Z,2025-04-02T14:50:00Z,15,2025-04-02,2,Apr
WestJet,YQT,2025-07-03T20:35:00Z,2025-07-03T20:59:00Z,24,2025-07-03,3,Jul
Porter Airlines,YHZ,2025-04-21T07:45:00Z,2025-04-21T07:59:00Z,14,2025-04-21,21,Apr
WestJet,YEG,2025-06-14T16:30:00Z,2025-06-14T16:43:00Z,13,2025-06-14,14,Jun
Jazz Aviation,YXX,2025-08-11T13:00:00Z,2025-08-11T13:07:00Z,7,2025-08-11,11,Aug
Air Canada,YOW,2025-04-25T09:40:00Z,2025-04-25T09:53:00Z,13,2025-04-25,25,Apr
Porter Airlines,YVR,2025-06-18T09:20:00Z,2025-06-18T09:32:00Z,12,2025-06-18,18,Jun
Air Transat,YOW,2025-05-25T11:40:00Z,2025-05-25T11:46:00Z,6,2025-05-25,25,May
Air Canada,YYZ,2025-02-13T07:20:00Z,2025-02-13T07:36:00Z,16,2025-02-13,13,Feb
WestJet,YVR,2025-10-21T20:40:00Z,2025-10-21T20:46:00Z,6,2025-10-21,21,Oct
Porter Airlines,YYT,2025-08-23T14:00:00Z,2025-08-23T14:32:00Z,32,2025-08-23,23,Aug
PAL Airlines,YXX,2025-07-16T13:10:00Z,2025-07-16T13:37:00Z,27,2025-07-16,16,Jul
PAL Airlines,YVR,2025-11-14T14:35:00Z,2025-11-14T15:00:00Z,25,2025-11-14,14,Nov
Air Canada,YYZ,2025-10-27T15:20:00Z,2025-10-27T15:33:00Z,13,2025-10-27,27,Oct
Air Transat,YYZ,2025-03-06T10:25:00Z,2025-03-06T10:51:00Z,26,2025-03-06,6,Mar
Air Canada,YYT,2025-12-03T11:15:00Z,2025-12-03T11:46:00Z,31,2025-12-03,3,Dec
Porter Airlines,YYC,2025-02-07T08:40:00Z,2025-02-07T09:03:00Z,23,2025-02-07,7,Feb
Air Canada,YOW,2025-06-24T15:20:00Z,2025-06-24T15:40:00Z,20,2025-06-24,24,Jun
Air Canada,YXX,2025-03-24T12:05:00Z,2025-03-24T12:13:00Z,8,2025-03-24,24,Mar
Flair Airlines,YUL,2025-12-18T22:15:00Z,2025-12-18T22:36:00Z,21,2025-12-18,18,Dec
Air Canada,YEG,2025-04-10T18:20:00Z,2025-04-10T18:34:00Z,14,2025-04-10,10,Apr
Air Canada,YYZ,2025-08-06T17:45:00Z,2025-08-06T17:56:00Z,11,2025-08-06,6,Aug
Air Canada,YYC,2025-09-09T10:40:00Z,2025-09-09T10:46:00Z,6,2025-09-09,9,Sep
Air Canada,YUL,2025-10-27T03:55:00Z,2025-10-27T04:22:00Z,27,2025-10-27,27,Oct
WestJet,YKF,2025-04-21T12:00:00Z,2025-04-21T12:25:00Z,25,2025-04-21,21,Apr
Jazz Aviation,YYZ,2025-11-29T01:10:00Z,2025-11-29T01:40:00Z,30,2025-11-29,29,Nov
Air Canada,YYC,2025-07-12T10:55:00Z,2025-07-12T11:08:00Z,13,2025-07-12,12,Jul
Porter Airlines,YQT,2025-12-22T18:00:00Z,2025-12-22T18:20:00Z,20,2025-12-22,22,Dec
Flair Airlines,YVR,2025-06-15T16:30:00Z,2025-06-15T17:03:00Z,33,2025-06-15,15,Jun
Air Canada,YVR,2025-01-22T03:00:00Z,2025-01-22T03:20:00Z,20,2025-01-22,22,Jan
Air Canada,YYC,2025-05-12T08:05:00Z,2025-05-12T08:12:00Z,7,2025-05-12,12,May
Porter Airlines,YVR,2025-07-04T12:50:00Z,2025-07-04T13:19:00Z,29,2025-07-04,4,Jul
Flair Airlines,YYZ,2025-11-18T20:45:00Z,2025-11-18T20:57:00Z,12,2025-11-18,18,Nov
WestJet,YXX,2025-12-18T06:30:00Z,2025-12-18T07:07:00Z,37,2025-12-18,18,Dec
Canadian North,YVR,2025-10-16T09:45:00Z,2025-10-16T10:10:00Z,25,2025-10-16,16,Oct
Air Transat,YQB,2025-07-28T16:15:00Z,2025-07-28T16:23:00Z,8,2025-07-28,28,Jul
Flair Airlines,YOW,2025-04-10T14:50:00Z,2025-04-10T15:01:00Z,11,2025-04-10,10,Apr
Flair Airlines,YYZ,2025-08-03T10:30:00Z,2025-08-03T10:55:00Z,25,2025-08-03,3,Aug
Canadian North,YYC,2025-07-18T17:20:00Z,2025-07-18T17:54:00Z,34,2025-07-18,18,Jul
Jazz Aviation,YQB,2025-12-08T21:10:00Z,2025-12-08T21:22:00Z,12,2025-12-08,8,Dec
Flair Airlines,YOW,2025-10-17T21:40:00Z,2025-10-17T22:04:00Z,24,2025-10-17,17,Oct
Flair Airlines,YOW,2025-10-05T17:25:00Z,2025-10-05T19:10:00Z,105,2025-10-05,5,Oct
Porter Airlines,YXE,2025-06-11T14:50:00Z,2025-06-11T15:10:00Z,20,2025-06-11,11,Jun
Air Canada,YQR,2025-08-10T23:05:00Z,2025-08-10T23:32:00Z,27,2025-08-10,10,Aug
WestJet,YOW,2025-11-02T14:55:00Z,2025-11-02T15:26:00Z,31,2025-11-02,2,Nov
PAL Airlines,YYZ,2025-09-27T08:35:00Z,2025-09-27T08:59:00Z,24,2025-09-27,27,Sep
Air Canada,YHZ,2025-09-19T05:20:00Z,2025-09-19T05:35:00Z,15,2025-09-19,19,Sep
Flair Airlines,YOW,2025-01-16T04:25:00Z,2025-01-16T04:52:00Z,27,2025-01-16,16,Jan
Porter Airlines,YYZ,2025-05-31T14:15:00Z,2025-05-31T15:33:00Z,78,2025-05-31,31,May
Air Canada,YYZ,2025-07-02T17:05:00Z,2025-07-02T17:48:00Z,43,2025-07-02,2,Jul
Air Transat,YVR,2025-08-24T01:20:00Z,2025-08-24T01:50:00Z,30,2025-08-24,24,Aug
WestJet,YWG,2025-03-21T12:15:00Z,2025-03-21T13:33:00Z,78,2025-03-21,21,Mar
Jazz Aviation,YYC,2025-11-30T14:00:00Z,2025-11-30T14:21:00Z,21,2025-11-30,30,Nov
Porter Airlines,YXE,2025-02-23T19:25:00Z,2025-02-23T19:45:00Z,20,2025-02-23,23,Feb
WestJet,YOW,2025-08-25T11:45:00Z,2025-08-25T11:52:00Z,7,2025-08-25,25,Aug
Flair Airlines,YYT,2025-06-06T11:15:00Z,2025-06-06T11:33:00Z,18,2025-06-06,6,Jun
WestJet,YHZ,2025-08-16T11:50:00Z,2025-08-16T12:04:00Z,14,2025-08-16,16,Aug
Air Canada,YYZ,2025-11-11T06:55:00Z,2025-11-11T07:30:00Z,35,2025-11-11,11,Nov
Air Canada,YQT,2025-08-29T15:30:00Z,2025-08-29T15:38:00Z,8,2025-08-29,29,Aug
Flair Airlines,YQT,2025-08-16T10:45:00Z,2025-08-16T11:12:00Z,27,2025-08-16,16,Aug
WestJet,YQB,2025-09-12T18:25:00Z,2025-09-12T18:40:00Z,15,2025-09-12,12,Sep
Porter Airlines,YWG,2025-01-20T14:50:00Z,2025-01-20T15:12:00Z,22,2025-01-20,20,Jan
Air Canada,YHZ,2025-08-13T19:25:00Z,2025-08-13T19:57:00Z,32,2025-08-13,13,Aug
Air Canada,YOW,2025-01-23T06:40:00Z,2025-01-23T07:01:00Z,21,2025-01-23,23,Jan
WestJet,YUL,2025-08-25T16:45:00Z,2025-08-25T17:37:00Z,52,2025-08-25,25,Aug
WestJet,YUL,2025-11-18T11:15:00Z,2025-11-18T11:21:00Z,6,2025-11-18,18,Nov
WestJet,YVR,2025-12-21T13:20:00Z,2025-12-21T14:25:00Z,65,2025-12-21,21,Dec
Air Canada,YYZ,2025-07-06T09:05:00Z,2025-07-06T09:44:00Z,39,2025-07-06,6,Jul
WestJet,YHZ,2025-12-31T13:50:00Z,2025-12-31T14:32:00Z,42,2025-12-31,31,Dec
PAL Airlines,YYT,2025-11-09T13:55:00Z,2025-11-09T14:08:00Z,13,2025-11-09,9,Nov
WestJet,YQT,2025-05-06T17:45:00Z,2025-05-06T17:49:00Z,4,2025-05-06,6,May
Air Canada,YUL,2025-10-19T13:30:00Z,2025-10-19T13:47:00Z,17,2025-10-19,19,Oct
Air Canada,YWG,2025-02-25T12:05:00Z,2025-02-25T12:20:00Z,15,2025-02-25,25,Feb
PAL Airlines,YOW,2025-04-18T09:10:00Z,2025-04-18T09:23:00Z,13,2025-04-18,18,Apr
Air Canada,YWG,2025-02-24T08:50:00Z,2025-02-24T09:03:00Z,13,2025-02-24,24,Feb
PAL Airlines,YEG,2025-08-24T18:50:00Z,2025-08-24T19:07:00Z,17,2025-08-24,24,Aug
WestJet,YOW,2025-07-20T14:25:00Z,2025-07-20T14:32:00Z,7,2025-07-20,20,Jul
Jazz Aviation,YYZ,2025-03-07T14:40:00Z,2025-03-07T14:55:00Z,15,2025-03-07,7,Mar
PAL Airlines,YHZ,2025-01-30T12:45:00Z,2025-01-30T13:04:00Z,19,2025-01-30,30,Jan
Air Canada,YYZ,2025-09-08T22:05:00Z,2025-09-08T22:14:00Z,9,2025-09-08,8,Sep
Air Canada,YUL,2025-11-16T13:45:00Z,2025-11-16T14:03:00Z,18,2025-11-16,16,Nov
WestJet,YEG,2025-09-01T05:05:00Z,2025-09-01T05:22:00Z,17,2025-09-01,1,Sep
Air Canada,YYT,2025-04-20T10:45:00Z,2025-04-20T10:52:00Z,7,2025-04-20,20,Apr
Flair Airlines,YYZ,2025-03-03T10:30:00Z,2025-03-03T10:41:00Z,11,2025-03-03,3,Mar
Air Canada,YHZ,2025-03-10T14:30:00Z,2025-03-10T14:41:00Z,11,2025-03-10,10,Mar
WestJet,YWG,2025-05-20T09:10:00Z,2025-05-20T09:33:00Z,23,2025-05-20,20,May
Porter Airlines,YYC,2025-01-28T15:45:00Z,2025-01-28T16:29:00Z,44,2025-01-28,28,Jan
Air Transat,YYZ,2025-11-15T03:25:00Z,2025-11-15T03:47:00Z,22,2025-11-15,15,Nov
WestJet,YVR,2025-11-23T09:15:00Z,2025-11-23T09:23:00Z,8,2025-11-23,23,Nov
WestJet,YQR,2025-11-17T12:20:00Z,2025-11-17T12:44:00Z,24,2025-11-17,17,Nov
WestJet,YYZ,2025-05-26T17:10:00Z,2025-05-26T17:26:00Z,16,2025-05-26,26,May
PAL Airlines,YHZ,2025-04-01T09:10:00Z,2025-04-01T09:23:00Z,13,2025-04-01,1,Apr
Air Canada,YUL,2025-06-11T17:25:00Z,2025-06-11T17:50:00Z,25,2025-06-11,11,Jun
WestJet,YYZ,2025-06-13T02:05:00Z,2025-06-13T02:18:00Z,13,2025-06-13,13,Jun
Air Transat,YYZ,2025-07-28T19:35:00Z,2025-07-28T19:53:00Z,18,2025-07-28,28,Jul
Air Canada,YYZ,2025-07-06T08:10:00Z,2025-07-06T08:24:00Z,14,2025-07-06,6,Jul
Porter Airlines,YYZ,2025-07-29T09:05:00Z,2025-07-29T09:29:00Z,24,2025-07-29,29,Jul
Air Canada,YXE,2025-01-12T14:45:00Z,2025-01-12T15:06:00Z,21,2025-01-12,12,Jan
WestJet,YOW,2025-06-25T13:10:00Z,2025-06-25T13:22:00Z,12,2025-06-25,25,Jun
Porter Airlines,YYC,2025-01-15T11:35:00Z,2025-01-15T12:05:00Z,30,2025-01-15,15,Jan
Air Transat,YUL,2025-02-19T10:55:00Z,2025-02-19T11:16:00Z,21,2025-02-19,19,Feb
Air Canada,YUL,2025-09-04T17:10:00Z,2025-09-04T17:21:00Z,11,2025-09-04,4,Sep
Canadian North,YYC,2025-05-13T17:05:00Z,2025-05-13T17:27:00Z,22,2025-05-13,13,May
Jazz Aviation,YVR,2025-08-14T13:40:00Z,2025-08-14T14:46:00Z,66,2025-08-14,14,Aug
WestJet,YYT,2025-02-04T18:25:00Z,2025-02-04T18:44:00Z,19,2025-02-04,4,Feb
WestJet,YQT,2025-09-04T21:35:00Z,2025-09-04T22:00:00Z,25,2025-09-04,4,Sep
Air Transat,YVR,2025-03-02T16:05:00Z,2025-03-02T16:13:00Z,8,2025-03-02,2,Mar
Air Canada,YUL,2025-08-04T10:45:00Z,2025-08-04T11:13:00Z,28,2025-08-04,4,Aug
WestJet,YYC,2025-09-14T14:30:00Z,2025-09-14T14:39:00Z,9,2025-09-14,14,Sep
Flair Airlines,YUL,2025-04-27T21:10:00Z,2025-04-27T21:49:00Z,39,2025-04-27,27,Apr
WestJet,YYZ,2025-06-21T16:25:00Z,2025-06-21T16:45:00Z,20,2025-06-21,21,Jun
WestJet,YYC,2025-02-25T13:40:00Z,2025-02-25T14:15:00Z,35,2025-02-25,25,Feb
WestJet,YQT,2025-01-19T16:35:00Z,2025-01-19T17:06:00Z,31,2025-01-19,19,Jan
Air Canada,YOW,2025-12-24T08:10:00Z,2025-12-24T08:28:00Z,18,2025-12-24,24,Dec
Jazz Aviation,YYC,2025-03-05T17:25:00Z,2025-03-05T17:32:00Z,7,2025-03-05,5,Mar
WestJet,YYZ,2025-05-07T17:40:00Z,2025-05-07T17:47:00Z,7,2025-05-07,7,May
Air Transat,YVR,2025-12-26T02:40:00Z,2025-12-26T02:56:00Z,16,2025-12-26,26,Dec
Jazz Aviation,YYZ,2025-10-17T23:55:00Z,2025-10-18T00:06:00Z,11,2025-10-17,17,Oct
WestJet,YEG,2025-04-02T21:50:00Z,2025-04-02T22:09:00Z,19,2025-04-02,2,Apr
Air Transat,YEG,2025-05-13T16:10:00Z,2025-05-13T16:27:00Z,17,2025-05-13,13,May
Air Canada,YYZ,2025-04-22T10:10:00Z,2025-04-22T10:19:00Z,9,2025-04-22,22,Apr
Jazz Aviation,YQB,2025-07-02T08:40:00Z,2025-07-02T09:05:00Z,25,2025-07-02,2,Jul
Porter Airlines,YYZ,2025-05-03T14:45:00Z,2025-05-03T15:05:00Z,20,2025-05-03,3,May
Jazz Aviation,YEG,2025-01-21T05:50:00Z,2025-01-21T06:20:00Z,30,2025-01-21,21,Jan
Air Canada,YEG,2025-01-23T12:50:00Z,2025-01-23T13:03:00Z,13,2025-01-23,23,Jan
Air Transat,YUL,2025-11-27T05:00:00Z,2025-11-27T05:26:00Z,26,2025-11-27,27,Nov
WestJet,YYZ,2025-08-21T16:25:00Z,2025-08-21T16:46:00Z,21,2025-08-21,21,Aug
WestJet,YYC,2025-07-14T12:10:00Z,2025-07-14T12:36:00Z,26,2025-07-14,14,Jul
Porter Airlines,YVR,2025-04-27T17:45:00Z,2025-04-27T18:18:00Z,33,2025-04-27,27,Apr
Jazz Aviation,YYC,2025-03-07T20:40:00Z,2025-03-07T20:48:00Z,8,2025-03-07,7,Mar
Porter Airlines,YYZ,2025-07-24T12:50:00Z,2025-07-24T13:12:00Z,22,2025-07-24,24,Jul
Air Canada,YUL,2025-10-21T10:30:00Z,2025-10-21T10:54:00Z,24,2025-10-21,21,Oct
WestJet,YUL,2025-11-24T16:20:00Z,2025-11-24T16:38:00Z,18,2025-11-24,24,Nov
Air Canada,YUL,2025-09-04T13:25:00Z,2025-09-04T13:32:00Z,7,2025-09-04,4,Sep
Porter Airlines,YYC,2025-02-02T03:55:00Z,2025-02-02T04:09:00Z,14,2025-02-02,2,Feb
Porter Airlines,YUL,2025-08-20T07:45:00Z,2025-08-20T08:08:00Z,23,2025-08-20,20,Aug
WestJet,YQB,2025-12-23T15:20:00Z,2025-12-23T15:37:00Z,17,2025-12-23,23,Dec
WestJet,YVR,2025-01-20T14:20:00Z,2025-01-20T14:41:00Z,21,2025-01-20,20,Jan
Air Transat,YEG,2025-02-07T14:10:00Z,2025-02-07T14:24:00Z,14,2025-02-07,7,Feb
Air Transat,YVR,2025-03-22T08:35:00Z,2025-03-22T08:48:00Z,13,2025-03-22,22,Mar
Flair Airlines,YUL,2025-12-10T18:55:00Z,2025-12-10T19:18:00Z,23,2025-12-10,10,Dec
Canadian North,YYC,2025-10-02T10:10:00Z,2025-10-02T10:18:00Z,8,2025-10-02,2,Oct
Porter Airlines,YOW,2025-07-12T14:15:00Z,2025-07-12T14:34:00Z,19,2025-07-12,12,Jul
Canadian North,YWG,2025-05-31T15:35:00Z,2025-05-31T15:47:00Z,12,2025-05-31,31,May
PAL Airlines,YWG,2025-07-19T09:45:00Z,2025-07-19T09:59:00Z,14,2025-07-19,19,Jul
PAL Airlines,YQB,2025-07-31T03:55:00Z,2025-07-31T04:25:00Z,30,2025-07-31,31,Jul
Air Transat,YVR,2025-07-17T20:55:00Z,2025-07-17T21:12:00Z,17,2025-07-17,17,Jul
Air Canada,YXE,2025-06-14T14:00:00Z,2025-06-14T14:30:00Z,30,2025-06-14,14,Jun
Flair Airlines,YYZ,2025-04-26T11:35:00Z,2025-04-26T11:48:00Z,13,2025-04-26,26,Apr
Flair Airlines,YXE,2025-03-07T14:15:00Z,2025-03-07T14:30:00Z,15,2025-03-07,7,Mar
PAL Airlines,YXE,2025-05-08T11:10:00Z,2025-05-08T11:25:00Z,15,2025-05-08,8,May
Air Canada,YWG,2025-07-30T18:00:00Z,2025-07-30T18:14:00Z,14,2025-07-30,30,Jul
PAL Airlines,YUL,2025-11-27T23:40:00Z,2025-11-28T00:04:00Z,24,2025-11-27,27,Nov
Air Transat,YUL,2025-12-01T14:55:00Z,2025-12-01T15:15:00Z,20,2025-12-01,1,Dec
Air Transat,YEG,2025-05-21T08:50:00Z,2025-05-21T09:15:00Z,25,2025-05-21,21,May
Flair Airlines,YVR,2025-04-13T12:15:00Z,2025-04-13T12:38:00Z,23,2025-04-13,13,Apr
Air Canada,YUL,2025-01-09T09:25:00Z,2025-01-09T09:58:00Z,33,2025-01-09,9,Jan
Porter Airlines,YXE,2025-08-15T15:50:00Z,2025-08-15T15:59:00Z,9,2025-08-15,15,Aug
Porter Airlines,YVR,2025-04-08T12:35:00Z,2025-04-08T12:47:00Z,12,2025-04-08,8,Apr
WestJet,YYC,2025-06-09T16:50:00Z,2025-06-09T16:58:00Z,8,2025-06-09,9,Jun
Air Canada,YYC,2025-09-21T05:45:00Z,2025-09-21T06:09:00Z,24,2025-09-21,21,Sep
Porter Airlines,YYZ,2025-11-18T06:15:00Z,2025-11-18T06:38:00Z,23,2025-11-18,18,Nov
Jazz Aviation,YYC,2025-02-10T12:40:00Z,2025-02-10T12:54:00Z,14,2025-02-10,10,Feb
WestJet,YYZ,2025-07-05T17:55:00Z,2025-07-05T18:17:00Z,22,2025-07-05,5,Jul
WestJet,YHZ,2025-02-13T20:05:00Z,2025-02-13T20:34:00Z,29,2025-02-13,13,Feb
Air Canada,YOW,2025-11-03T11:30:00Z,2025-11-03T11:41:00Z,11,2025-11-03,3,Nov
WestJet,YYZ,2025-04-07T14:25:00Z,2025-04-07T14:57:00Z,32,2025-04-07,7,Apr
Canadian North,YQB,2025-01-17T22:35:00Z,2025-01-17T23:13:00Z,38,2025-01-17,17,Jan
